AGE,Range,ID,Cliente,Estado,opco_lico,Helpdesk,Titulo,categoria1,categoria2,categoria3,categoria4,categoria5,categoria6,Fecha de Creación,esta_com_a_v30
31,>30 y <=45,3724007,LMX.202 MERIDA CENTRO,ABERTO,OPCO,HUMANET,ALTA EMPLEADO NUEVO INGRESO,RESTAURANT,SOFTWARE,Lector Biometrico,Alta de Huella,,,2023-03-29 00:00:00,
37,>30 y <=45,3709444,LMX.751 SAN M. DE ALLENDE LA LUCIERNAGA - ARC,ABERTO,OPCO,HUMANET,751 - ERROR AL CHECAR 139445,RESTAURANT,SOFTWARE,Lector Biometrico,ERROR EN CHECADAS,,,2023-03-23 00:00:00,
39,>30 y <=45,3702984,LMX.922 TOWN SQUARE METEPEC - ARC,ABERTO,OPCO,HUMANET,NO SE CARFGAN EMPELADOS NUEVOS A SCHEDULLE,RESTAURANT,SOFTWARE,Schedule,EMPLEADOS ABM,EMPLEADOS NO FIGURAN EN SCHEDULE,,2023-03-21 00:00:00,
37,>30 y <=45,3708346,LMX.890 VIA VALLEJO - ARC,ABERTO,OPCO,HUMANET,890 - EMPLEADOS NO FIGURAN EN ESP,RESTAURANT,SOFTWARE,Schedule,HORARIOS,NO CATEGORIZADO,,2023-03-23 00:00:00,
54,>45 y <=60,3660043,LMX.346 WM CANCUN - ARC,PENDENTE,OPCO,HUMANET,346 - GERENTE NO PUEDE ACCEDER A MENU GERENTE NI HABILITAR SU HUELLA,RESTAURANT,SOFTWARE,NEWPOS,NO CATEGORIZADO,,,2023-03-06 00:00:00,
58,>45 y <=60,3652130,LMX.338 CAMARONES - ARC,ABERTO,OPCO,HUMANET,338 - NO APARECEN EMPLEADOS EN ESP PARA GENERAR HORARIOS,RESTAURANT,SOFTWARE,Schedule,EMPLEADOS ABM,EMPLEADOS NO FIGURAN EN SCHEDULE,,2023-03-02 00:00:00,
50,>45 y <=60,3673912,LMX.547 ESCOBEDO (MTY) - ARC,ABERTO,OPCO,HUMANET,547 - PANTALLA EN BLANCO AL MOMENTO DE REALIZAR REPORTES,RESTAURANT,SOFTWARE,Schedule,EMPLEADOS ABM,EMPLEADOS NO FIGURAN EN SCHEDULE,,2023-03-10 00:00:00,
50,>45 y <=60,3673521,LMX.698 ERMITA LAS TORRES - ARC,ABERTO,OPCO,HUMANET,698 - NO APARECEN EMPLEADOS,RESTAURANT,SOFTWARE,Schedule,HORARIOS,DATOS DE HORARIOS FALTANTES,,2023-03-10 00:00:00,
30,>15 y <=30,3726308,Gaston Fernandez,ABERTO,,IMPLEMENTACIONES SLAD,ROLL MERCADO -  IMPLEMENTACIÓN CORRECCIÓN TICKET LUEGO DEL FISCAL,RESTAURANT,SOFTWARE,NEWPOS,NO CATEGORIZADO,,,2023-03-30 00:00:00,
50,>45 y <=60,3671637,LMX.807 CC SAMARA ARC,ABERTO,OPCO,INFRAESTRUCTURA MEXICO,IMPRESORA NO FUNCIONA ESCANER,RESTAURANT,HARDWARE,Impresora Gerencia,NO IMPRIME,,,2023-03-10 00:00:00,
26,>15 y <=30,3737215,LEC.PDA Plaza de las Americas,EM ESPERA,OPCO,INSALES,PDA - DIFERENCIA 31/MAR/2023 (EC),RESTAURANT,BACKOFFICE,INSALES,ERROR/FALTANTE DE DATOS,,,2023-04-03 00:00:00,
26,>15 y <=30,3737366,LPE.CUZ Cusco,ABERTO,OPCO,INSALES,CUZ - DIFERENCIA 30/MAR/2023 (PE),RESTAURANT,BACKOFFICE,INSALES,ERROR/FALTANTE DE DATOS,,,2023-04-03 00:00:00,
26,>15 y <=30,3737375,LCL.ECT Estacion Central,ABERTO,OPCO,INSALES,ECT - DIFERENCIA 29/MAR/2023 (CL),RESTAURANT,BACKOFFICE,INSALES,ERROR/FALTANTE DE DATOS,,,2023-04-03 00:00:00,
26,>15 y <=30,3737385,"",ABERTO,,INSALES,CEI - DIFERENCIA 29/MAR/2023 (EC),RESTAURANT,BACKOFFICE,INSALES,ERROR/FALTANTE DE DATOS,,,2023-04-03 00:00:00,
23,>15 y <=30,3745500,LAR.SM1 San Martin 2880,ABERTO,OPCO,INSALES,REPROCESAR RECA 20230404 - SM1,RESTAURANT,BACKOFFICE,INSALES,ERROR/FALTANTE DE DATOS,,,2023-04-06 00:00:00,
